2026-04-22 08:47:03.054 [main] INFO  c.m.editor.MarkdownEditorApplication - Starting MarkdownEditorApplication v1.0.0 using Java 17.0.12 on DESKTOP-THE2ARB with PID 14692 (D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend\target\editor-backend-1.0.0.jar started by Murphy in D:\workspace\spring-cloud-center\wechat-mini-backend\markdown-editor\backend)
2026-04-22 08:47:03.056 [main] INFO  c.m.editor.MarkdownEditorApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-22 08:47:04.673 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-22 08:47:04.674 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-22 08:47:04.678 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.78]
2026-04-22 08:47:04.752 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-22 08:47:06.992 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2026-04-22 08:47:07.457 [main] INFO  c.m.editor.MarkdownEditorApplication - Started MarkdownEditorApplication in 4.835 seconds (JVM running for 5.457)
2026-04-22 08:47:33.068 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-04-22 08:47:33.486 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 用户[wang]获取所有文档列表，页码: 0, 每页大小: 10
2026-04-22 08:47:33.632 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 6
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: wang
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: wang
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 3
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 5
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 4
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 2
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 4
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 1
2026-04-22 08:47:33.633 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 0
2026-04-22 08:47:33.670 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 用户[wang]获取所有文档列表成功，共115个文档
2026-04-22 08:47:49.352 [http-nio-8080-exec-5] INFO  c.m.e.controller.DocumentController - 用户[wang]获取所有文档列表，页码: 0, 每页大小: 10
2026-04-22 08:47:49.381 [http-nio-8080-exec-5] INFO  c.m.e.controller.DocumentController - 用户[wang]获取所有文档列表成功，共115个文档
2026-04-22 08:47:49.460 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:47:49.460 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 6
2026-04-22 08:47:49.460 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: wang
2026-04-22 08:47:49.460 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: wang
2026-04-22 08:47:49.461 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 3
2026-04-22 08:47:49.461 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 5
2026-04-22 08:47:49.461 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 4
2026-04-22 08:47:49.461 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 2
2026-04-22 08:47:49.461 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 4
2026-04-22 08:47:49.461 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 1
2026-04-22 08:47:49.461 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 0
2026-04-22 08:47:52.250 [http-nio-8080-exec-8] INFO  c.m.editor.controller.UserController - 开始获取用户统计数据，userId: 6
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 6
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: wang
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: wang
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 3
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 5
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 4
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 2
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 4
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 1
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 0
2026-04-22 08:47:52.351 [http-nio-8080-exec-8] INFO  c.m.editor.controller.UserController - 获取用户统计数据成功，stats: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:47:52.405 [http-nio-8080-exec-9] INFO  c.m.e.controller.DocumentController - 获取作者的其他文章，作者ID: 6, 排除文档ID: null
2026-04-22 08:47:52.431 [http-nio-8080-exec-9] INFO  c.m.e.controller.DocumentController - 获取作者的其他文章成功，找到5个分类
2026-04-22 08:47:52.851 [http-nio-8080-exec-3] INFO  c.m.editor.controller.UserController - 开始获取用户统计数据，userId: 6
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 6
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: wang
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: wang
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 3
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 5
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 4
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 2
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 4
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 1
2026-04-22 08:47:52.942 [http-nio-8080-exec-3] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 0
2026-04-22 08:47:52.943 [http-nio-8080-exec-3] INFO  c.m.editor.controller.UserController - 获取用户统计数据成功，stats: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:47:52.989 [http-nio-8080-exec-6] INFO  c.m.e.controller.DocumentController - 获取文章分类列表
2026-04-22 08:47:53.002 [http-nio-8080-exec-6] INFO  c.m.e.controller.DocumentController - 获取文章分类列表成功，分类数量: 5
2026-04-22 08:47:53.066 [http-nio-8080-exec-5] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: tech, 分类code: tech, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.080 [http-nio-8080-exec-5] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到1个结果，当前页显示1个
2026-04-22 08:47:53.147 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: life, 分类code: life, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.159 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到1个结果，当前页显示1个
2026-04-22 08:47:53.228 [http-nio-8080-exec-7] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: work, 分类code: work, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.241 [http-nio-8080-exec-7] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到0个结果，当前页显示0个
2026-04-22 08:47:53.308 [http-nio-8080-exec-8] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: entertainment, 分类code: entertainment, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.323 [http-nio-8080-exec-8] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到1个结果，当前页显示1个
2026-04-22 08:47:53.389 [http-nio-8080-exec-9] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: other, 分类code: other, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.403 [http-nio-8080-exec-9] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到0个结果，当前页显示0个
2026-04-22 08:47:53.465 [http-nio-8080-exec-10] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: tech, 分类code: tech, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.479 [http-nio-8080-exec-10] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到1个结果，当前页显示1个
2026-04-22 08:47:53.543 [http-nio-8080-exec-1] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: life, 分类code: life, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.559 [http-nio-8080-exec-1] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到1个结果，当前页显示1个
2026-04-22 08:47:53.627 [http-nio-8080-exec-4] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: work, 分类code: work, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.641 [http-nio-8080-exec-4] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到0个结果，当前页显示0个
2026-04-22 08:47:53.704 [http-nio-8080-exec-3] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: entertainment, 分类code: entertainment, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.718 [http-nio-8080-exec-3] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到1个结果，当前页显示1个
2026-04-22 08:47:53.776 [http-nio-8080-exec-6] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章，作者ID: 6, 分类: other, 分类code: other, 页码: 1, 每页大小: 10
2026-04-22 08:47:53.788 [http-nio-8080-exec-6] INFO  c.m.e.controller.DocumentController - 获取作者指定分类的文章成功，找到0个结果，当前页显示0个
2026-04-22 08:48:57.654 [http-nio-8080-exec-5] INFO  c.m.editor.controller.UserController - 开始获取用户统计数据，userId: 6
2026-04-22 08:48:57.655 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 获取公开文档列表，页码: 0, 每页大小: 9
2026-04-22 08:48:57.655 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 调整后的页码: 1
2026-04-22 08:48:57.655 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 创建Page对象，页码: 1, 每页大小: 9
2026-04-22 08:48:57.655 [http-nio-8080-exec-2] INFO  c.m.e.s.impl.DocumentServiceImpl - 分页参数：current=1, size=9, offset=0
2026-04-22 08:48:57.679 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 获取公开文档列表成功，共14个文档，当前页码: 1, 每页大小: 9, 总页数: 2
2026-04-22 08:48:57.679 [http-nio-8080-exec-2] INFO  c.m.e.controller.DocumentController - 返回的记录数: 9
2026-04-22 08:48:57.748 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 6
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: wang
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: wang
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 3
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 5
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 4
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 2
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 4
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 1
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 0
2026-04-22 08:48:57.749 [http-nio-8080-exec-5] INFO  c.m.editor.controller.UserController - 获取用户统计数据成功，stats: UserStatsDTO{userId=6, username='wang', nickname='wang', original=3, likes=5, collections=4, comments=2, blogRank=4, followers=1, following=0}
2026-04-22 08:48:59.059 [http-nio-8080-exec-8] INFO  c.m.e.controller.DocumentController - 用户[wang]获取文档，文档ID: 191
2026-04-22 08:48:59.128 [http-nio-8080-exec-8] INFO  c.m.e.controller.DocumentController - 用户[wang]获取文档成功，文档ID: 191
2026-04-22 08:48:59.197 [http-nio-8080-exec-9] INFO  c.m.editor.controller.UserController - 开始获取用户统计数据，userId: 4
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - UserStatsDTO: UserStatsDTO{userId=4, username='admin', nickname='管理员', original=105, likes=12, collections=12, comments=24, blogRank=1, followers=0, following=2}
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - userId: 4
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - username: admin
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - nickname: 管理员
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - original: 105
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - likes: 12
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - collections: 12
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - comments: 24
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - blogRank: 1
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - followers: 0
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.e.s.impl.StatisticsServiceImpl - following: 2
2026-04-22 08:48:59.302 [http-nio-8080-exec-9] INFO  c.m.editor.controller.UserController - 获取用户统计数据成功，stats: UserStatsDTO{userId=4, username='admin', nickname='管理员', original=105, likes=12, collections=12, comments=24, blogRank=1, followers=0, following=2}
2026-04-22 08:48:59.364 [http-nio-8080-exec-10] INFO  c.m.e.controller.DocumentController - 获取作者的其他文章，作者ID: 4, 排除文档ID: 191
2026-04-22 08:48:59.419 [http-nio-8080-exec-10] INFO  c.m.e.controller.DocumentController - 获取作者的其他文章成功，找到5个分类
2026-04-22 08:48:59.472 [http-nio-8080-exec-1] INFO  c.m.e.controller.DocumentController - 用户[wang]获取文档收藏状态，文档ID: 191
2026-04-22 08:48:59.472 [http-nio-8080-exec-4] INFO  c.m.e.controller.DocumentController - 用户[wang]获取文档点赞状态，文档ID: 191
2026-04-22 08:48:59.485 [http-nio-8080-exec-4] INFO  c.m.e.controller.DocumentController - 用户[wang]获取文档点赞状态成功，文档ID: 191, 状态: false
